transaction_id,amount,hour,day_of_week,merchant_category,distance_from_home,days_since_last_txn,transaction_frequency,card_age_years,device_risk_score,txn_count_24h,txn_count_7d,is_fraud
TXN_00000125,35.19,4,5,Grocery,53.09,1.1,8.33,1.87,97.2,2,15,0
TXN_00000126,3.6,21,5,Travel,64.15,0.35,12.3,2.35,8.17,2,29,0
TXN_00000127,13.12,9,0,Gas,52.63,3.94,0.64,2.16,80.64,1,24,0
TXN_00000128,31.64,19,6,Grocery,6.75,5.39,1.76,0.89,94.66,4,18,0
TXN_00000129,32.16,19,3,Gas,30.05,2.53,0.98,1.75,19.56,1,18,0
TXN_00000130,30.52,7,2,Restaurant,8.6,5.95,15.76,1.14,85.72,3,16,0
TXN_00000131,9.68,15,0,Gas,47.76,0.44,21.41,4.88,50.52,5,26,0
TXN_00000132,104.74,4,1,Travel,4.14,6.57,2.08,5.86,81.91,4,19,0
TXN_00000133,15.94,21,1,Gas,9.54,6.22,17.49,0.32,23.99,1,19,0
TXN_00000134,31.65,15,4,Online,14.65,0.16,13.44,0.34,31.49,0,22,0
TXN_00000135,25.59,0,2,Grocery,51.48,5.92,7.19,1.09,21.26,0,17,0
TXN_00000136,29.03,3,1,Restaurant,15.07,11.89,11.11,2.47,11.1,4,36,0
TXN_00000137,27.14,16,3,Online,125.1,1.64,19.54,1.04,91.08,2,17,0
TXN_00000138,7.72,14,1,Grocery,15.28,0.24,8.37,1.0,82.45,1,23,0
TXN_00000139,8.68,7,5,Gas,20.81,22.56,9.84,2.27,83.82,2,24,0
TXN_00000140,11.29,4,1,Online,37.25,0.17,20.29,0.2,95.58,0,23,0
TXN_00000141,1.96,13,4,Restaurant,111.52,2.93,9.34,2.99,59.17,3,18,0
TXN_00000142,71.87,11,4,Restaurant,50.27,0.37,2.94,1.35,47.25,0,14,0
TXN_00000143,25.37,12,1,Grocery,47.18,1.65,2.32,2.18,0.55,0,16,0
TXN_00000144,21.68,6,0,Grocery,134.23,2.53,0.91,2.88,11.38,6,17,0
TXN_00000145,322.8,18,0,Travel,62.59,4.68,3.7,5.21,95.51,1,22,0
TXN_00000146,5.21,16,5,Gas,30.46,2.3,1.29,1.63,75.12,1,18,0
TXN_00000147,18.38,8,5,Travel,45.65,3.49,1.5,0.37,15.43,3,25,0
TXN_00000148,9.74,2,1,Travel,82.52,1.22,6.28,5.09,6.74,3,20,0
TXN_00000149,4.84,11,1,Online,97.44,12.42,5.64,1.15,58.22,4,15,0
TXN_00000150,3.83,4,3,Grocery,51.9,5.07,4.16,0.22,40.96,3,19,0
TXN_00000151,7.27,17,2,Grocery,35.21,16.62,4.85,0.12,3.1,2,24,0
TXN_00000152,28.12,9,1,Restaurant,87.64,20.68,3.4,9.74,38.95,3,21,0
TXN_00000153,8.16,20,4,Gas,18.0,1.5,2.16,0.18,34.24,4,14,0
TXN_00000154,17.29,1,4,Restaurant,48.47,1.12,5.03,0.12,47.55,5,26,0
TXN_00000155,35.85,16,5,Gas,1.75,17.47,29.78,2.16,9.37,4,21,0
TXN_00000156,51.05,18,3,Online,42.61,15.62,2.24,0.35,85.4,3,26,0
TXN_00000157,8.13,14,4,Travel,0.97,3.24,11.64,3.85,69.25,1,18,0
TXN_00000158,6.41,2,5,Grocery,66.95,8.98,13.49,0.46,75.34,5,20,0
TXN_00000159,34.05,5,2,Restaurant,50.0,4.3,11.97,0.02,10.09,4,20,0
TXN_00000160,4.84,23,4,Online,132.41,2.6,23.66,1.16,47.64,4,22,0
TXN_00000161,3.94,22,2,Gas,44.08,4.9,0.74,3.44,24.19,5,24,0
TXN_00000162,23.75,13,3,Grocery,25.75,0.54,2.1,4.58,71.5,4,29,0
TXN_00000163,32.29,10,1,Grocery,41.62,10.07,8.48,7.13,94.3,4,28,0
TXN_00000164,9.95,22,3,Grocery,6.94,5.64,28.82,0.94,47.54,3,18,0
TXN_00000165,15.48,14,5,Restaurant,73.65,0.01,19.59,0.62,55.21,5,24,0
TXN_00000166,14.38,1,4,Gas,43.28,0.45,0.44,3.3,82.33,2,23,0
TXN_00000167,8.1,23,6,Online,148.65,0.16,13.33,1.2,90.61,3,19,0
TXN_00000168,20.62,15,3,Grocery,0.85,7.35,16.46,0.38,26.56,0,17,0
TXN_00000169,12.47,19,3,Restaurant,41.98,5.44,7.95,6.34,67.56,4,15,0
TXN_00000170,5.22,1,0,Restaurant,43.64,23.13,2.73,2.27,65.1,4,25,0
TXN_00000171,11.57,10,0,Restaurant,118.45,0.89,10.3,4.98,94.74,3,23,0
TXN_00000172,3.3,19,5,Entertainment,37.71,1.38,6.94,3.41,7.62,4,9,0
TXN_00000173,10.1,7,1,Grocery,92.78,19.87,15.76,5.77,24.2,7,19,0
TXN_00000174,20.31,5,0,Online,8.82,3.24,12.67,0.85,64.06,3,20,0
TXN_00000175,12.47,3,6,Travel,12.98,5.03,2.51,1.16,84.8,2,22,0
TXN_00000176,2.43,21,4,Online,125.31,15.07,8.61,1.33,78.75,3,16,0
TXN_00000177,1.78,19,2,Restaurant,12.48,0.2,0.37,0.58,86.68,4,20,0
TXN_00000178,66.24,6,6,Gas,34.41,1.15,8.94,0.62,33.16,2,20,0
TXN_00000179,7.49,7,3,Online,74.34,2.17,17.42,2.17,46.33,0,18,0
TXN_00000180,4.31,21,2,Grocery,0.51,2.88,21.43,0.16,19.11,4,21,0
TXN_00000181,26.44,15,3,Grocery,23.18,11.61,16.43,12.57,75.42,3,21,0
TXN_00000182,8.25,8,2,Gas,149.0,5.0,1.39,2.46,78.07,4,15,0
TXN_00000183,192.57,0,1,Grocery,95.01,2.11,0.31,0.16,14.22,2,14,0
TXN_00000184,0.69,12,3,Grocery,77.14,6.63,4.85,0.08,83.9,0,19,0
TXN_00000185,11.14,18,3,Restaurant,38.91,2.81,3.69,1.97,11.85,7,17,0
TXN_00000186,20.31,4,5,Travel,200.61,4.94,2.84,0.53,18.69,0,18,0
TXN_00000187,9.78,16,3,Gas,105.18,4.65,2.84,1.32,8.39,2,16,0
TXN_00000188,6.23,12,1,Online,76.92,4.6,46.42,1.18,94.13,1,13,0
TXN_00000189,18.32,8,0,Online,27.47,2.13,5.07,0.92,20.53,2,21,0
TXN_00000190,6.32,14,0,Restaurant,48.86,5.23,3.11,0.05,96.5,4,17,0
TXN_00000191,8.79,18,1,Grocery,144.78,6.67,21.46,0.68,58.76,3,21,0
TXN_00000192,46.96,18,0,Grocery,55.81,18.86,1.07,0.03,43.36,3,17,0
TXN_00000193,8.16,18,0,Restaurant,50.76,1.39,12.52,0.29,19.93,2,16,0
TXN_00000194,11.24,10,4,Online,46.66,5.59,0.85,9.08,83.85,5,23,0
TXN_00000195,5.16,7,3,Gas,126.77,4.39,7.73,0.94,36.84,5,23,0
TXN_00000196,6.86,10,1,Grocery,17.91,3.49,0.58,2.03,92.71,2,22,0
TXN_00000197,1.45,20,0,Grocery,10.27,5.46,21.34,5.05,68.51,1,17,0
TXN_00000198,2.41,9,6,Online,77.86,1.84,24.51,9.16,32.67,4,18,0
TXN_00000199,2.49,6,3,Travel,56.5,9.1,19.57,4.14,43.92,3,23,0
TXN_00000200,13.71,16,0,Online,17.6,3.9,4.23,1.6,73.24,3,14,0
TXN_00000201,46.75,13,6,Grocery,15.57,2.04,13.84,2.55,98.62,6,18,0
TXN_00000202,11.58,15,1,Travel,28.91,19.67,7.18,0.36,76.48,8,16,0
TXN_00000203,123.68,21,6,Restaurant,90.43,8.61,18.54,1.99,33.36,4,19,0
TXN_00000204,4.15,7,1,Grocery,32.63,1.0,13.59,5.65,54.56,5,12,0
TXN_00000205,5.43,22,5,Gas,64.14,5.35,12.34,0.03,21.77,2,24,0
TXN_00000206,21.09,15,6,Online,69.67,8.12,7.3,0.45,67.12,3,26,0
TXN_00000207,69.89,2,5,Online,95.73,3.9,14.2,1.1,41.5,3,21,0
TXN_00000208,19.2,11,5,Restaurant,7.17,2.93,5.99,9.55,43.11,4,20,0
TXN_00000209,84.01,12,5,Online,3.26,7.5,17.24,1.86,98.33,4,19,0
TXN_00000210,39.49,2,5,Online,28.02,1.12,7.22,4.0,43.64,2,24,0
TXN_00000211,18.67,2,2,Gas,19.14,16.24,22.23,5.67,40.6,0,12,0
TXN_00000212,16.24,5,1,Gas,7.12,3.58,0.05,8.36,41.48,2,22,0
TXN_00000213,21.78,10,6,Restaurant,101.4,2.38,4.64,2.89,63.31,4,29,0
TXN_00000214,37.56,10,2,Grocery,129.54,4.99,0.56,3.1,97.42,1,23,0
TXN_00000215,7.96,14,6,Grocery,43.34,3.02,29.71,0.19,68.54,0,15,0
TXN_00000216,16.31,21,1,Entertainment,106.69,4.39,17.95,3.09,7.86,2,23,0
TXN_00000217,28.82,19,4,Travel,53.8,1.19,19.88,6.52,19.67,4,27,0
TXN_00000218,7.15,7,3,Gas,28.58,2.52,11.07,6.67,30.61,3,20,0
TXN_00000219,18.09,9,4,Gas,37.74,21.1,1.82,0.36,0.87,1,22,0
TXN_00000220,63.0,9,3,Grocery,11.82,8.28,1.59,1.26,86.47,1,20,0
TXN_00000221,3.11,4,2,Online,18.09,1.87,0.03,0.57,87.54,4,18,0
TXN_00000222,15.01,15,5,Online,141.02,0.08,7.4,1.91,65.61,3,24,0
TXN_00000223,3.5,3,2,Restaurant,116.81,11.03,17.03,2.14,73.62,6,15,0
TXN_00000224,15.74,12,5,Restaurant,40.91,2.32,15.4,0.87,93.89,4,16,0
TXN_00000225,32.93,6,3,Online,48.84,4.58,0.55,1.42,23.21,2,17,0
TXN_00000226,28.26,12,1,Online,44.57,0.03,14.81,3.64,61.53,6,22,0
TXN_00000227,15.15,22,3,Grocery,55.44,3.16,14.85,0.4,62.63,6,18,0
TXN_00000228,35.07,13,4,Grocery,2.86,4.2,10.54,0.71,55.65,6,13,0
TXN_00000229,78.82,23,4,Entertainment,55.11,13.53,3.09,2.84,67.85,5,23,0
TXN_00000230,33.79,2,4,Grocery,239.55,3.89,41.89,8.39,45.28,1,16,0
TXN_00000231,7.06,23,3,Gas,122.23,1.05,0.05,0.19,90.48,2,17,0
TXN_00000232,45.98,15,0,Grocery,63.14,9.69,4.41,4.25,29.51,1,19,0
TXN_00000233,10.62,19,1,Grocery,66.39,3.79,3.4,2.04,29.99,2,14,0
TXN_00000234,33.87,10,2,Travel,86.01,4.18,10.7,6.86,39.95,1,13,0
TXN_00000235,54.69,4,0,Entertainment,12.08,0.35,9.03,4.03,3.24,2,15,0
TXN_00000236,5.27,8,0,Grocery,6.15,0.14,7.41,0.74,98.94,3,23,0
TXN_00000237,30.23,12,2,Grocery,2.66,4.07,1.7,5.4,35.83,3,21,0
TXN_00000238,6.42,16,0,Gas,46.03,13.83,3.74,0.86,65.42,4,16,0
TXN_00000239,15.97,10,3,Restaurant,52.24,1.32,11.44,8.45,4.68,5,20,0
TXN_00000240,7.2,3,2,Restaurant,61.91,0.5,3.82,10.39,26.23,2,19,0
TXN_00000241,6.39,15,4,Online,37.89,5.66,5.59,3.94,82.45,4,18,0
TXN_00000242,204.43,9,2,Gas,42.55,1.97,0.4,0.95,0.64,7,19,0
TXN_00000243,0.5,12,2,Grocery,46.26,5.39,11.65,0.38,93.85,2,17,0
TXN_00000244,73.36,1,1,Travel,4.39,2.5,1.06,0.05,66.17,2,35,0
TXN_00000245,6.88,1,2,Gas,2.6,0.2,8.53,1.5,2.87,1,24,0
TXN_00000246,18.42,9,0,Restaurant,16.1,6.18,3.17,7.04,37.47,1,19,0
TXN_00000247,11.14,16,0,Online,133.25,0.5,5.98,1.23,87.07,1,24,0
TXN_00000248,124.58,4,5,Restaurant,12.18,1.17,3.52,7.25,54.74,3,15,0
TXN_00000249,10.1,12,1,Online,14.15,18.66,4.23,1.23,31.19,1,24,0
TXN_00000250,14.21,3,2,Restaurant,4.28,0.18,45.81,0.09,44.45,2,18,0
TXN_00000251,7.78,18,5,Online,28.49,2.96,9.64,3.28,50.07,1,19,0
TXN_00000252,1.64,3,5,Gas,33.89,1.08,10.56,4.55,79.15,2,17,0
TXN_00000253,14.76,12,1,Grocery,110.17,14.41,14.52,0.02,0.13,2,19,0
TXN_00000254,2.71,12,2,Restaurant,11.93,0.65,12.09,0.36,99.69,2,14,0
TXN_00000255,30.54,1,0,Gas,75.13,5.59,12.88,2.04,63.34,4,21,0
TXN_00000256,35.07,13,4,Entertainment,46.5,1.84,18.17,2.86,58.12,2,28,0
TXN_00000257,28.28,13,5,Grocery,57.7,11.65,18.16,0.41,12.63,5,22,0
TXN_00000258,3.06,14,0,Grocery,84.44,11.24,17.35,6.87,55.31,4,18,0
TXN_00000259,15.08,10,3,Entertainment,25.94,0.46,0.68,6.66,46.38,2,20,0
TXN_00000260,4.05,15,2,Restaurant,59.11,6.03,14.0,6.19,50.0,3,17,0
TXN_00000261,18.03,21,2,Grocery,40.04,3.71,3.32,1.06,27.78,5,10,0
TXN_00000262,5.43,5,6,Restaurant,52.91,0.84,37.74,2.36,13.57,4,24,0
TXN_00000263,1.95,20,1,Online,128.92,18.48,17.91,1.08,96.65,4,21,0
TXN_00000264,5.97,10,3,Gas,35.25,0.88,10.73,18.29,45.17,2,26,0
TXN_00000265,9.99,14,2,Gas,25.29,3.04,5.36,3.93,13.54,1,17,0
TXN_00000266,4.45,5,5,Restaurant,1.94,4.84,11.98,0.73,4.2,1,14,0
TXN_00000267,6.66,17,5,Restaurant,44.92,0.8,1.89,6.33,55.84,4,20,0
TXN_00000268,45.34,21,1,Online,16.22,14.14,1.33,6.24,97.09,2,19,0
TXN_00000269,20.5,4,6,Travel,8.08,7.71,9.62,1.25,87.39,0,16,0
TXN_00000270,9.35,14,5,Gas,69.74,11.8,18.04,0.66,44.12,2,12,0
TXN_00000271,8.87,9,2,Restaurant,26.73,15.84,7.79,2.79,22.05,3,21,0
TXN_00000272,20.44,6,2,Grocery,45.57,2.43,19.3,9.14,88.36,2,21,0
TXN_00000273,5.68,15,4,Grocery,6.03,12.48,15.04,5.18,90.28,3,19,0
TXN_00000274,26.42,11,5,Restaurant,9.08,0.3,11.74,3.91,4.7,2,22,0
TXN_00000275,29.78,18,2,Online,26.69,5.29,8.67,0.07,98.85,0,32,0
TXN_00000276,22.1,4,0,Restaurant,39.59,3.22,25.57,0.23,28.06,5,16,0
TXN_00000277,6.41,10,1,Grocery,80.26,2.03,13.13,1.63,57.84,3,23,0
TXN_00000278,47.77,15,3,Grocery,50.09,7.32,51.3,0.03,73.02,2,19,0
TXN_00000279,129.58,22,0,Gas,22.14,4.5,8.57,0.53,47.17,3,24,0
TXN_00000280,2.56,8,2,Restaurant,6.99,2.9,3.82,7.29,6.09,2,19,0
TXN_00000281,7.78,5,0,Restaurant,141.91,0.96,6.38,0.29,62.57,4,21,0
TXN_00000282,1.93,18,1,Grocery,19.83,0.9,2.0,4.69,38.47,3,25,0
TXN_00000283,33.33,9,3,Online,43.25,0.07,4.47,2.79,38.75,3,18,0
TXN_00000284,15.08,22,4,Online,0.96,6.66,2.34,0.43,63.85,1,14,0
TXN_00000285,14.44,12,6,Gas,22.05,12.14,0.41,2.15,68.05,3,18,0
TXN_00000286,7.14,22,2,Grocery,10.07,16.79,5.59,3.0,72.61,2,17,0
TXN_00000287,4.12,18,6,Travel,83.59,8.72,15.85,1.17,76.52,3,17,0
TXN_00000288,7.75,15,3,Travel,97.33,7.23,1.59,3.52,94.5,4,14,0
TXN_00000289,28.81,5,5,Gas,4.4,5.74,2.69,8.62,87.13,5,22,0
TXN_00000290,9.54,12,2,Online,24.18,0.92,18.11,2.39,18.92,7,25,0
TXN_00000291,106.47,16,2,Grocery,47.34,1.83,3.95,0.22,34.98,5,16,0
TXN_00000292,7.82,11,1,Gas,1.69,0.65,5.38,0.2,39.68,4,19,0
TXN_00000293,7.86,17,4,Gas,30.63,1.48,13.95,2.16,32.09,5,16,0
TXN_00000294,7.93,1,0,Grocery,14.6,13.21,5.63,0.38,100.0,4,24,1
TXN_00000295,22.77,10,5,Restaurant,98.82,10.05,0.1,4.52,46.07,5,13,0
